date,recorder,crew,capture_method,location,specific_location,sex,fish_of_day,fin_clip_id,scales_id,TL_estimate_in,FL_mm,wt_estimate_lb,wt_g,bioimp_a,bioimp_b,anesthesia_temp_C,diet_id,pit_id,radio_freq,radio_id,copepods,lamprey_marks,comments
4/20/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,F,1,,1,,553,,1798,,,,,003BC3BF3C,,,,,No radio tag. Released shoalwater bay.
4/20/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,F,2,,2,,519,,1464,,,,,003BC3BF31,,,,,
4/20/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,,3,,3,,532,,1578,,,,,003BC3BF46,,,,1,
4/20/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,M,4,,4,,545,,2340,,,,,003BC3BF36,,,,,
4/20/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,M,5,,5,,629,,2579,,,,,003BC3BF1B,,,,,
4/20/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,F,6,,6,,494,,1386,,,,,003BC3BF1E,,,,,
4/20/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,F,7,,7,,665,,3300,,,,,,290,20,,0,Caught at eagle point by matt coleman.
4/20/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,F,8,,8,,602,,1950,,,,,003BC3BF1F,,,,1,
4/20/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,M,9,,,,627,,3182,,,,,,290,1,,,
4/20/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,M,10,,10,,625,,2602,,,,,,290,2,,1,
4/20/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,M,11,,11,,567,,2064,,,,,,290,3,,,
4/20/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,M,12,,12,,551,,1966,,,,,,290,5,,,
4/20/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,M,13,,13,,585,,2348,,,,,,290,4,,,
4/20/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,F,14,,14,,549,,574,,,,,003BC3BF38,,,,,
4/20/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,F,15,,15,,574,,1850,,,,,,,,,,Mortality from transport. Head taken. Sculpin in stomach. Eggs developing.
4/21/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,F,1,,1,,521,,1696,,,,,257C5B3734,,,,,
4/21/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,F,2,,2,,569,,2044,,,,,257C5AF2CC,,,,,
4/21/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,F,3,,3,,514,,1544,,,,,257C5DC5CD,,,,,
4/21/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,F,4,,4,,520,,1578,,,,,257C5DB874,,,,,
4/21/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,F,5,,5,,597,,2002,,,,,257C5B2E29,,,,,
4/21/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,M,6,,,,597,,2708,,,,,,290,6,,,
4/21/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,M,7,,7,,657,,3220,,,,,,290,7,,,
4/21/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,F,8,,8,,544,,1726,,,,,257C5D926D,,,,,
4/21/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,M,9,,9,,550,,2030,,,,,257C5D9372,,,,,
4/21/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,F,10,,10,,541,,1878,,,,,,290,8,N,,
5/2/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,M,1,,1,,573,,1534,,,,,257C5DBA86,250,20,N,,PIT ID may be switched with 250 17; unsure
5/2/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,M,2,,2,,646,,3479,,,,,257C5B40CE,250,17,Y,,PIT ID may be switched with 250 20; unsure
5/2/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,M,3,,3,,609,,2646,,,,,257C5B2C7E,250,19,N,,
5/2/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,M,4,,4,,599,,2530,,,,,257C5D7D93,250,14,N,,
5/2/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,F,5,,5,,530,,1640,,,,,257C6328FB,250,18,N,,
5/2/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,F,6,,6,,511,,1651,,,,,257C5DC931,250,10,N,,
5/2/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,M,7,,,,568,,1916,,,,,257C5AEAB8,250,15,N,1,
5/2/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,M,8,,8,,549,,,,,,,003BC3BF07,,,,,
5/2/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,M,9,,,,545,,,,,,,003BC3BF4D,,,N,,
5/3/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,F,1,,1,,659,,3213,,,,,257C5DA73D,250,8,,,
