Basin,Species,ID,Temperature
Williamson,RedbandTrout,1,26.9
Williamson,RedbandTrout,2,28.6
Williamson,RedbandTrout,3,28.9
Williamson,RedbandTrout,4,29.1
Williamson,RedbandTrout,5,29.2
Williamson,RedbandTrout,6,29.4
Williamson,RedbandTrout,7,29.5
Williamson,RedbandTrout,8,29.6
Spencer,RedbandTrout,1,30.7
Spencer,RedbandTrout,2,31.1
Spencer,RedbandTrout,3,31.2
Spencer,RedbandTrout,4,31.3
Spencer,RedbandTrout,5,31.3
Spencer,RedbandTrout,6,31.4
Spencer,RedbandTrout,7,31.5
Spencer,RedbandTrout,8,31.5
Deschutes_Odell,RedbandTrout,1,28.6
Deschutes_Odell,RedbandTrout,2,29.1
Deschutes_Odell,RedbandTrout,3,29.1
Deschutes_Odell,RedbandTrout,4,29.1
Deschutes_Odell,RedbandTrout,5,29.1
Deschutes_Odell,RedbandTrout,6,29.1
Deschutes_Odell,RedbandTrout,7,29.1
Deschutes_Odell,RedbandTrout,8,29.9
