date,capture_method,location,specific_location,sex,fin_clip_id,TL_estimate_in,FL_mm,wt_estimate_lb,wt_g,copepods,lamprey_marks,comments
7/27/2016,mort,UKL,,,ADFL1,,725,,,,,
4/19/2018,mort,UKL,,M,ADFL10,,620,,,,,
4/24/2018,mort,Williamson,Weir,F,ADFL11,27.75,,,,,,sent to odfw fish path
5/22/2018,mort,Williamson,Weir,M,ADFL12,27.25,,7.5,,,,
5/22/2018,mort,Williamson,Weir,M,ADFL13,27.25,,7.5,,,,
5/19/2018,angling,UKL,Howard Bay,,ADFL14,,504,,1520,,,wt questionable
5/19/2018,angling,UKL,Howard Bay,F,ADFL15,,574,,2280,,,wt questionable
5/19/2018,angling,UKL,"South UKL (Cove Pt, Hanks Marsh, Skillet Handle)",M,ADFL16,,550,,2232,,,wt questionable
5/19/2018,angling,UKL,Howard Bay,F,ADFL17,,505,,1480,,,wt questionable
5/19/2018,angling,UKL,Howard Bay,,ADFL18,,544,,1980,,,wt questionable
5/21/2018,angling,UKL,Howard Bay,M,ADFL19,,590,,2230,,,
8/4/2016,mort,Pelican Bay,Harriman Ck,F,ADFL2,,535,,,,,
5/21/2018,angling,UKL,Howard Bay,F,ADFL20,,585,,2120,,,
5/21/2018,angling,UKL,Howard Bay,F,ADFL21,,662,,3080,,,
4/14/2017,angling,UKL,Shoalwater/Eagle Ridge,M,ADFL22,,695,,4072,N,10,"caught previous day and held in net pen resulting in physical damage; lamprey marks fresh, poor condition, scales missing"
4/14/2017,angling,UKL,Shoalwater Bay,F,ADFL23,,618,,3590,N,3,"2 fresh, 1 healed lamprey marks; excellent condition, potentially gravid but bright"
4/14/2017,angling,UKL,Shoalwater/Eagle Ridge,F,ADFL24,,574,,2044,N,0,"caught previous day and held in net pen resulting in physical damage; deformed right eye, piece missing from caudal, net rash on mandible and opercle; fin clip mixed up with others - discarded as no longer identifiable"
4/14/2017,angling,UKL,Shoalwater/Eagle Ridge,F,ADFL25,,575,,2110,N,10,"caught previous day and held in net pen resulting in physical damage; most lamprey marks fresh, right eye deformed, bright, spawned out"
4/14/2017,angling,UKL,Eagle Ridge,F,ADFL26,,598,,2225,N,0,"dark, fair condition; fin clip mixed up with others - discarded as no longer identifiable"
4/14/2017,angling,UKL,Shoalwater/Eagle Ridge,F,ADFL27,,588,,1821,N,2,"caught previous day and held in net pen resulting in physical damage; lamprey marks severe, convulsed in measuring tray"
4/14/2017,angling,UKL,Shoalwater/Eagle Ridge,F,ADFL28,,519,,1706,N,6,"caught previous day and held in net pen resulting in physical damage; lower mandible abrasion, left eye deformed"
4/14/2017,angling,UKL,Shoalwater/Eagle Ridge,,ADFL29,,544,,1710,Y,1,"caught previous day and held in net pen resulting in physical damage; hook or net injury on mouth w/ parasites, missing scales; fin clip mixed up with others - discarded as no longer identifiable"
8/4/2016,mort,Pelican Bay,Pelican Bay/Rocky Pt Shoreline,,ADFL3,,567,,,,,hooking mort
4/14/2017,angling,UKL,Shoalwater/Eagle Ridge,,ADFL30,,500,,1436,N,0,"caught previous day and held in net pen resulting in physical damage; potential otter marks - 2 vertical lacerations, healed"
4/14/2017,angling,UKL,Eagle Ridge,,ADFL31,,598,,2318,N,0,"2 tiny lesions at base of dorsal fin, good condition, bright"
4/14/2017,angling,UKL,Eagle Ridge,,ADFL32,,604,,2708,N,1,"bright chrome, missing scales, otherwise good condition"
4/14/2017,angling,UKL,Shoalwater/Eagle Ridge,,ADFL33,,425,,828,,,caught previous day and held in net pen resulting in physical damage
4/14/2017,angling,UKL,Shoalwater/Eagle Ridge,,ADFL34,,494,,1236,N,0,caught previous day and held in net pen resulting in physical damage
4/14/2017,angling,UKL,Eagle Ridge,F,ADFL35,,574,,2355,N,4,"caudal peduncle injury, some scales missing, bright"
