Basin,TempTrial,TempTrial1,ID,Type,TypeDetails,MO2,bwmax,N_MO2,R2_threshold,Note,MRtype,Descrip
Spencer,Ambient,14,1,AAS,AS_low10quant,17.94251682,0.0133,384,0.75,,AS,
Spencer,Ambient,14,2,AAS,AS_low10quant,10.22685768,0.0293,390,0.75,,AS,
Spencer,Ambient,14,3,AAS,AS_low10quant,14.28324447,0.0091,390,0.75,,AS,
Spencer,Ambient,14,4,AAS,AS_low10quant,13.89365723,0.0299,387,0.75,,AS,
Spencer,Ambient,14,5,AAS,AS_low10quant,11.01632753,0.0367,31,0.75,exclude,AS,MMR (manual) looked good but SMR (auto) data very messy with only a few useable measurements
Spencer,Ambient,14,6,AAS,AS_low10quant,12.21991703,0.0119,77,0.75,exclude,AS,MMR (manual) looked good but SMR (auto) data very messy with only a few useable measurements
Spencer,Ambient,14,7,AAS,AS_low10quant,13.98284976,0.0091,83,0.75,exclude,AS,MMR (manual) looked good but SMR (auto) data very messy with only a few useable measurements
Spencer,Ambient,14,8,AAS,AS_low10quant,13.78787674,0.0074,19,0.75,exclude,AS,MMR (manual) looked good but SMR (auto) data very messy with only a few useable measurements
Spencer,Ambient,14,1,FAS,,10.57064253,0.0133,384,0.75,,AS,
Spencer,Ambient,14,2,FAS,,7.152458276,0.0293,390,0.75,,AS,
Spencer,Ambient,14,3,FAS,,13.68159204,0.0091,390,0.75,,AS,
Spencer,Ambient,14,4,FAS,,8.708533702,0.0299,387,0.75,,AS,
Spencer,Ambient,14,5,FAS,,49.4671916,0.0367,31,0.75,exclude,AS,MMR (manual) looked good but SMR (auto) data very messy with only a few useable measurements
Spencer,Ambient,14,6,FAS,,19.16205752,0.0119,77,0.75,exclude,AS,MMR (manual) looked good but SMR (auto) data very messy with only a few useable measurements
Spencer,Ambient,14,7,FAS,,16.24004249,0.0091,83,0.75,exclude,AS,MMR (manual) looked good but SMR (auto) data very messy with only a few useable measurements
Spencer,Ambient,14,8,FAS,,10.90223945,0.0074,19,0.75,exclude,AS,MMR (manual) looked good but SMR (auto) data very messy with only a few useable measurements
Spencer,Ambient,14,1,MMR,mmr,19.81726209,0.0133,384,0.75,,MR,
Spencer,Ambient,14,2,MMR,mmr,11.88909694,0.0293,390,0.75,,MR,
Spencer,Ambient,14,3,MMR,mmr,15.4095419,0.0091,390,0.75,,MR,
Spencer,Ambient,14,4,MMR,mmr,15.69603078,0.0299,387,0.75,,MR,
Spencer,Ambient,14,5,MMR,mmr,11.24362206,0.0367,31,0.75,exclude,MR,MMR (manual) looked good but SMR (auto) data very messy with only a few useable measurements
Spencer,Ambient,14,6,MMR,mmr,12.89274372,0.0119,77,0.75,exclude,MR,MMR (manual) looked good but SMR (auto) data very messy with only a few useable measurements
Spencer,Ambient,14,7,MMR,mmr,14.90035703,0.0091,83,0.75,exclude,MR,MMR (manual) looked good but SMR (auto) data very messy with only a few useable measurements
Spencer,Ambient,14,8,MMR,mmr,15.18027659,0.0074,19,0.75,exclude,MR,MMR (manual) looked good but SMR (auto) data very messy with only a few useable measurements
Spencer,Ambient,12,1,RMR,post EPOC values,2.603979254,0.0133,384,0.75,,,
Spencer,Ambient,13,1,RMR,post EPOC values,2.361086124,0.0133,31,0.75,,,
Spencer,Ambient,14,1,RMR,post EPOC values,2.026481842,0.0133,390,0.75,,,
Spencer,Ambient,15,1,RMR,post EPOC values,1.802911647,0.0133,384,0.75,exclude,,Only one observation at this temperature
Spencer,Ambient,16,1,RMR,post EPOC values,2.893785647,0.0133,384,0.75,exclude,,Only one observation at this temperature
Spencer,Ambient,17,1,RMR,post EPOC values,1.507383045,0.0133,384,0.75,exclude,,Only one observation at this temperature
Spencer,Ambient,12,2,RMR,post EPOC values,2.01613052,0.0293,390,0.75,,,
Spencer,Ambient,13,2,RMR,post EPOC values,1.679074994,0.0293,384,0.75,,,
Spencer,Ambient,14,2,RMR,post EPOC values,1.649826405,0.0293,384,0.75,,,
Spencer,Ambient,12,3,RMR,post EPOC values,1.345563635,0.0091,390,0.75,,,
Spencer,Ambient,13,3,RMR,post EPOC values,1.149117353,0.0091,390,0.75,,,
Spencer,Ambient,12,4,RMR,post EPOC values,1.802446999,0.0299,387,0.75,,,
Spencer,Ambient,13,4,RMR,post EPOC values,1.715773237,0.0299,384,0.75,,,
Spencer,Ambient,14,4,RMR,post EPOC values,1.746451831,0.0299,384,0.75,,,
Spencer,Ambient,14,1,SMR,SMR_low10quant,1.874745271,0.0133,384,0.75,,MR,SMR temp  post-EPOC not the avg for the entire trial
Spencer,Ambient,14,2,SMR,SMR_low10quant,1.662239258,0.0293,390,0.75,,MR,SMR temp  post-EPOC not the avg for the entire trial
Spencer,Ambient,14,3,SMR,SMR_low10quant,1.126297426,0.0091,390,0.75,,MR,SMR temp  post-EPOC not the avg for the entire trial
Spencer,Ambient,14,4,SMR,SMR_low10quant,1.802373547,0.0299,387,0.75,,MR,SMR temp  post-EPOC not the avg for the entire trial
Spencer,Ambient,14,5,SMR,SMR_low10quant,0.22729453,0.0367,31,0.75,exclude,MR,MMR (manual) looked good but SMR (auto) data very messy with only a few useable measurements
Spencer,Ambient,14,6,SMR,SMR_low10quant,0.672826689,0.0119,77,0.75,exclude,MR,MMR (manual) looked good but SMR (auto) data very messy with only a few useable measurements
Spencer,Ambient,14,7,SMR,SMR_low10quant,0.917507269,0.0091,83,0.75,exclude,MR,MMR (manual) looked good but SMR (auto) data very messy with only a few useable measurements
Spencer,Ambient,14,8,SMR,SMR_low10quant,1.392399851,0.0074,19,0.75,exclude,MR,MMR (manual) looked good but SMR (auto) data very messy with only a few useable measurements
Spencer,Climate,25,1,AAS,AS_low10quant,18.775,0.0174,132,0.8,,AS,
Spencer,Climate,25,2,AAS,AS_low10quant,,,,0.8,exclude,AS,mort
Spencer,Climate,25,3,AAS,AS_low10quant,20.483,0.0176,132,0.8,,AS,
Spencer,Climate,25,4,AAS,AS_low10quant,23.303,0.0127,132,0.8,,AS,
Spencer,Climate,25,5,AAS,AS_low10quant,,,131,0.8,exclude,AS,mort
Spencer,Climate,25,6,AAS,AS_low10quant,11.619,0.0171,131,0.8,,AS,
Spencer,Climate,25,7,AAS,AS_low10quant,10.097,0.0216,131,0.8,,AS,
Spencer,Climate,25,8,AAS,AS_low10quant,10.32,0.0412,131,0.8,,AS,
Spencer,Climate,25,1,FAS,,4.143,0.0174,132,0.8,,AS,
Spencer,Climate,25,2,FAS,,,,,0.8,exclude,AS,mort
Spencer,Climate,25,3,FAS,,4.345,0.0176,132,0.8,,AS,
Spencer,Climate,25,4,FAS,,5.395,0.0127,132,0.8,,AS,
Spencer,Climate,25,5,FAS,,,,131,0.8,exclude,AS,mort
