date,leader,fish_of_day,coords_raw,UTM_zone,easting,northing,elevation,lat_dec_deg,long_dec_deg,detection,detection_specific,loc_main,loc_specific,loc_comments,radio_freq,radio_id,active,temp_C,signal_strength,gain,surface_temp_C,depth_m,habitat_desc,odfw_spawn_area,comments
5/26/2017,NH,7,,,,,,,,release,release,,,Keno Dam,170,1,Y,,,,,,,,release site
6/6/2017,NH,7,,,,,,42.12944,-121.94796,keno,keno,Klamath R,Keno Stretch,top of second rapid below keno dam,170,1,Y,20.4,130,,19.8,,riffle,,
6/12/2017,William Tinniswood,14,42 08.0890 N    121 58.0433 W::6/12/17 at 19:38:25 (UTC),10T,5.85E+05,4.67E+06,1300.4 M,42.134818 N,121.967388 W,keno,keno,Klamath R,,,170,1,Y,15.6,,,,,,,
6/30/2017,NH,11,,,,,,42.13157,-121.95571,keno,keno,Klamath R,Keno Reach,1/4 mi below first island below keno dam,170,1,Y,23.6,58,,,,,,found at 14:03
7/24/2017,MH,9,,,,,,42.15007799,-121.9887892,keno,keno,Klamath R,Keno Reach,no mans land,170,1,Y,26,119,70,23.2,,,,
8/4/2017,Nick Hahlbeck,2,42 07.7924 N    121 56.9258 W::8/4/17 at 18:11:54 (UTC),10T,5.87E+05,4.66E+06,1265.2 M,42.129873 N,121.948763 W,keno,keno,Klamath R,Keno Stretch,,170,1,,22,170,75,,,,,Could be two tags transmittingat once
8/4/2017,Nick Hahlbeck,9,42 09.0213 N    121 58.9046 W::8/4/17 at 20:40:40 (UTC),10T,5.84E+05,4.67E+06,1201.0 M,42.150355 N,121.981743 W,dead,dead,Klamath R,Keno Stretch,,170,1,N,28.4,80,84,,,,,
5/26/2017,NH,12,,,,,,,,release,release,,,Keno Dam,170,2,Y,,,,,,,,release site
6/12/2017,William Tinniswood,7,,,,,,,,keno,keno,Klamath R,,Below keno dam first bend,170,2,Y,15.6,72,,,,,,
6/22/2017,William Tinniswood,10,,,,,,,,keno,keno,Klamath R,Keno Stretch,Near keno dam around bend,170,2,Y,22,,,21.5,,,,
6/30/2017,NH,12,,,,,,42.13386,-121.96054,keno,keno,Klamath R,Keno Reach,big pool by grassy bank outcrop and rapid on keno reach,170,2,Y,22.8,62,,,,pool,,found at 14:16
7/7/2017,JA,10,,,,,,,,keno,keno,Klamath R,Keno Reach,"huge pool, cliff upstream of powerline fishing hole",170,2,Y,24.4,91,,,,,,"picked up at 16:15, temp ranged 24.4-25.2"
7/13/2017,MH,2,,,,,,42.13745681,-121.9679514,keno,keno,Klamath R,Keno Reach,upstream of powerlines,170,2,Y,25.2,178,,,,,,
7/24/2017,MH,6,,,,,,42.13764545,-121.9681394,keno,keno,Klamath R,Keno Reach,below point,170,2,Y,24.4,231,70,23.2,,,,
8/4/2017,Nick Hahlbeck,7,42 08.1617 N    121 57.8370 W::8/4/17 at 19:24:50 (UTC),10T,5.86E+05,4.67E+06,1271.3 M,42.136028 N,121.963950 W,keno,keno,Klamath R,Keno Stretch,,170,2,Y,26,92,77,,,,,
5/26/2017,NH,10,,,,,,,,release,release,,,Keno Dam,170,3,Y,,,,,,,,release site
6/6/2017,NH,8,,,,,,42.12944,-121.94796,dead,dead,Klamath R,Keno Stretch,top of second rapid below keno dam,170,3,N,20.4,131,,19.8,,,,
6/12/2017,William Tinniswood,9,,,,,,,,dead,dead,Klamath R,,Below keno dam,170,3,N,15.6,75,,,,,,
6/22/2017,William Tinniswood,6,,,,,,,,dead,dead,Klamath R,,Near bend at keno dam,170,3,N,22,,,21.5,,,,
6/30/2017,NH,8,,,,,,,,dead,dead,Klamath R,Keno Reach,end of old wagon downstream of power line crossing,170,3,,1.2,85,,,,,,"found at 13:44, consistently read 1.2C so unsure if tag id correct"
7/7/2017,JA,6,,,,,,,,dead,dead,Klamath R,Keno Reach,rapid at final tagging location on keno reach,170,3,N,24.4,81,,,,,,"picked up at 15:52, temp ranged 24.4-26.0"
7/17/2017,Jordan Ortega,5,42 07.8132 N    121 56.7777 W::7/17/17 at 20:58:05 (UTC),10T,5.87E+05,4.66E+06,1089.0 M,42.130220 N,121.946295 W,dead,dead,Klamath R,Keno Stretch,Near cement structure on first bend below dam,170,3,N,24.4,145,54,,,,,
8/4/2017,Nick Hahlbeck,1,,,,,,42.1305,-121.9485,keno,keno,Klamath R,Keno Stretch,,170,3,Y,23.2,204,75,,,,,
10/25/2017,William Tinniswood,2,,,,,,,,dead,dead,Klamath R,Keno Stretch,Below Keno Dam,170,3,N,10.8,,,,,,,
11/7/2017,William Tinniswood,3,,,,,,,,dead,dead,Klamath R,Keno Stretch,Below Keno Dam,170,3,N,7.6,,,,,,,
5/26/2017,NH,3,,,,,,,,release,release,,,Keno Dam,170,4,Y,,,,,,,,release site
6/6/2017,NH,6,,,,,,42.13157,-121.94836,keno,keno,Klamath R,Keno Stretch,lower section below first rapid below keno dam,170,4,Y,20.4,124,,20.2,,pool,,
